metro,date,rent
"Buffalo, NY",2015-02-28,790.2521164705026
"Buffalo, NY",2015-03-31,798.1643332542933
"Buffalo, NY",2015-04-30,800.1650229319298
"Buffalo, NY",2015-05-31,801.9196687083008
"Buffalo, NY",2015-06-30,800.3402748676822
"Buffalo, NY",2015-07-31,803.5416901588943
"Buffalo, NY",2015-08-31,812.5603799904076
"Buffalo, NY",2015-09-30,818.9733104738995
"Buffalo, NY",2015-10-31,820.5668147088758
"Buffalo, NY",2015-11-30,819.4414049623211
"Buffalo, NY",2015-12-31,819.752336405535
"Buffalo, NY",2016-01-31,818.1695805160485
"Buffalo, NY",2016-02-29,815.0988384962801
"Buffalo, NY",2016-03-31,815.6781502575537
"Buffalo, NY",2016-04-30,827.8093651177703
"Buffalo, NY",2016-05-31,835.9046907615567
"Buffalo, NY",2016-06-30,840.0952711135396
"Buffalo, NY",2016-07-31,829.7462638496013
"Buffalo, NY",2016-08-31,828.0159706479734
"Buffalo, NY",2016-09-30,831.4717095658469
"Buffalo, NY",2016-10-31,838.4943014693833
"Buffalo, NY",2016-11-30,839.2598668474477
"Buffalo, NY",2016-12-31,839.7769127020006
"Buffalo, NY",2017-01-31,845.0352490215168
"Buffalo, NY",2017-02-28,853.2000067463316
"Buffalo, NY",2017-03-31,857.6163291555957
"Buffalo, NY",2017-04-30,854.6659052422241
"Buffalo, NY",2017-05-31,856.639196788656
"Buffalo, NY",2017-06-30,862.0736822402948
"Buffalo, NY",2017-07-31,873.2550609444601
"Buffalo, NY",2017-08-31,876.4642593023757
"Buffalo, NY",2017-09-30,873.7402913086069
"Buffalo, NY",2017-10-31,876.4521479389931
"Buffalo, NY",2017-11-30,881.3465715275316
"Buffalo, NY",2017-12-31,888.2681288092238
"Buffalo, NY",2018-01-31,887.7874420050807
"Buffalo, NY",2018-02-28,888.7789867934587
"Buffalo, NY",2018-03-31,889.709763794718
"Buffalo, NY",2018-04-30,892.3814572330083
"Buffalo, NY",2018-05-31,890.3839569776068
"Buffalo, NY",2018-06-30,894.2111204756199
"Buffalo, NY",2018-07-31,896.2042949725869
"Buffalo, NY",2018-08-31,902.0417004721652
"Buffalo, NY",2018-09-30,904.8397841456408
"Buffalo, NY",2018-10-31,905.2950836099712
"Buffalo, NY",2018-11-30,911.5316484353556
"Buffalo, NY",2018-12-31,914.4344728916064
"Buffalo, NY",2019-01-31,922.3388305709548
"Buffalo, NY",2019-02-28,919.2720673293912
"Buffalo, NY",2019-03-31,923.2710712500636
"Buffalo, NY",2019-04-30,927.291764016234
"Buffalo, NY",2019-05-31,933.5446710448304
"Buffalo, NY",2019-06-30,934.4718046830304
"Buffalo, NY",2019-07-31,936.8943708985984
"Buffalo, NY",2019-08-31,938.4014686961
"Buffalo, NY",2019-09-30,944.377024027013
"Buffalo, NY",2019-10-31,948.894574640912
"Buffalo, NY",2019-11-30,949.2570016630292
"Buffalo, NY",2019-12-31,951.2960362576802
"Buffalo, NY",2020-01-31,952.3166661793928
"Buffalo, NY",2020-02-29,960.6151161325176
"Buffalo, NY",2020-03-31,966.0349513671356
"Buffalo, NY",2020-04-30,975.699322279888
"Buffalo, NY",2020-05-31,976.9994625444524
"Buffalo, NY",2020-06-30,983.8901404974548
"Buffalo, NY",2020-07-31,986.3840532011352
"Buffalo, NY",2020-08-31,991.948934967192
"Buffalo, NY",2020-09-30,997.2581022667196
"Buffalo, NY",2020-10-31,1005.5657253484636
"Buffalo, NY",2020-11-30,1008.3424583251352
"Buffalo, NY",2020-12-31,1010.7966590663816
"Buffalo, NY",2021-01-31,1017.6650716043667
"Buffalo, NY",2021-02-28,1028.384597822785
"Buffalo, NY",2021-03-31,1036.7086623388725
"Buffalo, NY",2021-04-30,1043.266963618934
"Buffalo, NY",2021-05-31,1052.0355913265248
"Buffalo, NY",2021-06-30,1063.46605510553
"Buffalo, NY",2021-07-31,1072.688938748314
"Buffalo, NY",2021-08-31,1083.6473986005224
"Buffalo, NY",2021-09-30,1096.337478075153
"Buffalo, NY",2021-10-31,1104.4404820110458
"Buffalo, NY",2021-11-30,1114.2954637862686
"Buffalo, NY",2021-12-31,1122.2459993690495
"Buffalo, NY",2022-01-31,1130.5668476459932
"Buffalo, NY",2022-02-28,1137.4877657244538
"Buffalo, NY",2022-03-31,1145.0288389412776
